page_number,detail_url,title,salary,contract_type,job_type,location,listing_page,scraped_at
1,https://www.reed.co.uk/jobs/data-analyst/56770926,Data Analyst,"£40,000 - £45,000 per annum",Permanent,Full-Time,"Gillingham, Kent",https://www.reed.co.uk/jobs/data-analyst-jobs,2026-06-26T23:47:03.591882
1,https://www.reed.co.uk/jobs/data-analyst/56915591,Data Analyst,"£40,000 per annum",Permanent,Full-Time,"Leeds, West Yorkshire",https://www.reed.co.uk/jobs/data-analyst-jobs,2026-06-26T23:47:04.911303
1,https://www.reed.co.uk/jobs/data-analyst/56917623,Data Analyst,£50 per hour,Permanent,Full-Time,Gloucestershire,https://www.reed.co.uk/jobs/data-analyst-jobs,2026-06-26T23:47:06.091699
1,https://www.reed.co.uk/jobs/data-analyst/56965079,Data Analyst,"£45,000 - £54,000 per annum",Permanent,Full-Time,"Leeds, West Yorkshire",https://www.reed.co.uk/jobs/data-analyst-jobs,2026-06-26T23:47:07.421274
2,https://www.reed.co.uk/jobs/data-analyst/57033571,Data Analyst,"£35,000 per annum",Permanent,Full-Time,"Leicester, Leicestershire",https://www.reed.co.uk/jobs/data-analyst-jobs?pageno=2,2026-06-26T23:47:10.218680
2,https://www.reed.co.uk/jobs/data-analyst/56992362,Data Analyst,£401 - £500 per day,Permanent,Full-Time,"Manchester, Lancashire",https://www.reed.co.uk/jobs/data-analyst-jobs?pageno=2,2026-06-26T23:47:11.706598
2,https://www.reed.co.uk/jobs/data-analyst/57010860,Data Analyst,"£40,000 - £50,000 per annum",Permanent,Full-Time,Bedfordshire,https://www.reed.co.uk/jobs/data-analyst-jobs?pageno=2,2026-06-26T23:47:12.531476
2,https://www.reed.co.uk/jobs/data-analyst/56967825,Data Analyst,"£27,500 per annum",Contract,Full-Time,"Thame, Oxfordshire",https://www.reed.co.uk/jobs/data-analyst-jobs?pageno=2,2026-06-26T23:47:13.428881
3,https://www.reed.co.uk/jobs/marketing-data-analyst/56932047,Marketing Data Analyst,Competitive salary,Permanent,Full-Time,"Newcastle Upon Tyne, Tyne and Wear",https://www.reed.co.uk/jobs/data-analyst-jobs?pageno=3,2026-06-26T23:47:15.853468
3,https://www.reed.co.uk/jobs/asset-data-analyst/56957539,Asset Data Analyst,"£22.20 per hour, inc benefits",Permanent,Full-Time,"Barnsley, South Yorkshire",https://www.reed.co.uk/jobs/data-analyst-jobs?pageno=3,2026-06-26T23:47:16.954290
3,https://www.reed.co.uk/jobs/digital-data-analyst/56908044,Digital Data Analyst,"£40,000 - £48,000 per annum",Permanent,Full-Time,London,https://www.reed.co.uk/jobs/data-analyst-jobs?pageno=3,2026-06-26T23:47:18.045134
3,https://www.reed.co.uk/jobs/data-analyst-contract/56991145,Data Analyst (Contract),£300 - £350 per day,Permanent,Full-Time,London,https://www.reed.co.uk/jobs/data-analyst-jobs?pageno=3,2026-06-26T23:47:18.994041
4,https://www.reed.co.uk/jobs/data-analyst-trainee/57041713,Data Analyst Trainee,Training Course,Permanent,Full-Time,"Doncaster, South Yorkshire",https://www.reed.co.uk/jobs/data-analyst-jobs?pageno=4,2026-06-26T23:47:21.755749
